,target,prey
4491338,AP2B1,AP2M1
4491845,AP2B1,EPS15
4492024,AP2B1,EPS15L1
4492110,AP2B1,AP2A1
4492254,AP2B1,AP2A2
3822552,AP2S1,AP2A2
3822667,AP2S1,AP2A1
3822729,AP2S1,EPS15L1
3822914,AP2S1,EPS15
3823034,AP2S1,AP2S1
3823113,AP2S1,HIST1H1B
3823307,AP2S1,RAN
3823556,AP2S1,AP2M1
3823929,AP2S1,PAICS
3824073,AP2S1,C15ORF57
3824653,AP2S1,BMP2K
3824862,AP2S1,FCHO2
3825156,AP2S1,AP2B1
3825376,AP2S1,AAGAB
3825463,AP2S1,AAK1
1444718,APC,APC
1445099,APC,CTNNB1
1446871,APC,TRAP1
2126392,APPL1,APPL2
2126605,APPL1,YWHAZ
2126633,APPL1,YWHAH
2126735,APPL1,YWHAG
2126745,APPL1,YWHAE
2126778,APPL1,ACTR2
2127048,APPL1,CAMSAP3
2127275,APPL1,KIAA0430
2127424,APPL1,APPL1
2127683,APPL1,ARPC1A
2128998,APPL1,YWHAQ
2129321,APPL1,YWHAB
2129410,APPL1,ARPC2
1447602,APPL2,APPL2
1448600,APPL2,APPL1
2560306,ARAF,YWHAB
2561299,ARAF,RAF1
2561993,ARAF,ARAF
2562866,ARAF,YWHAG
2562969,ARAF,YWHAH
2562997,ARAF,YWHAZ
2563361,ARAF,CDC37
1033105,ARAP1,ARAP1
1350662,ARF1,ARFIP2
1352432,ARF1,ARF1;ARF3
1355921,ARF3,ARF1;ARF3
1356125,ARF3,ANKHD1
1356184,ARF3,RAI1
1357094,ARF4,SERPINH1
1357158,ARF4,BCAP31
1357223,ARF4,HSP90B1
1357247,ARF4,ARF4
1357569,ARF4,LMAN2
1358271,ARF4,WBP11
1358396,ARF4,ERP44
1359419,ARF4,ARF5
1360661,ARF5,SERPINH1
1361058,ARF5,LMAN2
1361887,ARF5,ERP44
1362192,ARF5,RRP36
1362975,ARF5,ARF5
1364089,ARF6,ARF6
1364976,ARF6,KAT2A
1365578,ARF6,SMARCD2
1365858,ARF6,USP6NL
129368,ARFGAP1,ARFGAP1
130008,ARFGAP1,COPG2
130163,ARFGAP1,CD2AP
1368286,ARFGAP2,ARFGAP2
1369757,ARFGAP2,MAD2L1
1372701,ARFGAP3,ARFGAP3
1373881,ARFGAP3,SNAPC4
41534,ARFGEF1,AKAP10
41782,ARFGEF1,MSH2
42233,ARFGEF1,C13ORF34;BORA
42379,ARFGEF1,MYCBP
43105,ARFGEF1,DPY30
43497,ARFGEF1,ARFGEF1
43498,ARFGEF1,ARFGEF2
44098,ARFGEF1,MSH6
44569,ARFGEF1,TATDN3
1374348,ARFGEF2,AKAP10
1375171,ARFGEF2,MYCBP
1375800,ARFGEF2,DPY30
1376315,ARFGEF2,ARFGEF1
1376316,ARFGEF2,ARFGEF2
1451498,ARFIP1,ARFIP1
1451919,ARFIP1,ARL1
1451964,ARFIP1,ARFIP2
1452680,ARFIP1,HAUS7
1453314,ARFIP1,HAUS2
1454173,ARFIP1,HAUS6
45788,ARFIP2,ARFIP2
47602,ARFIP2,ARFIP1
47959,ARFIP2,CCAR1
1035350,ARHGAP1,RHOC
1035649,ARHGAP1,ARHGAP1
1039221,ARHGAP11A,TWF1
1039797,ARHGAP11A,CD2AP
1040564,ARHGAP11A,DCTN1;DKFZP686E0752
1040699,ARHGAP11A,ARHGAP11A
1041734,ARHGAP11A,CAPZA2
4231701,ARHGAP11AB,STOM
4233330,ARHGAP11AB,ACTB
4234147,ARHGAP15,EDC4
4234734,ARHGAP15,BCAP29
4235256,ARHGAP15,ESYT1
4235581,ARHGAP15,HACD3
4235695,ARHGAP15,MICAL2
4236200,ARHGAP15,BCAP31
4236422,ARHGAP15,PGRMC1
4236488,ARHGAP15,SCD
4236507,ARHGAP15,CYB5A
1042212,ARHGAP17,ARHGAP17
1043313,ARHGAP17,SH3BP1
1044011,ARHGAP17,ARHGAP44
1044973,ARHGAP17,VCL
4236687,ARHGAP18,AP2A2
4236770,ARHGAP18,TFRC
4236796,ARHGAP18,BAG4
4236836,ARHGAP18,BAG2
4236849,ARHGAP18,PIK3C2A
4236856,ARHGAP18,HIP1
4236926,ARHGAP18,GAK
4236930,ARHGAP18,NUDT21
4236932,ARHGAP18,AP1G1
4236984,ARHGAP18,LSM1
4237050,ARHGAP18,HSPA9
4237161,ARHGAP18,EPS15
4237272,ARHGAP18,CLTA
4237310,ARHGAP18,STOM
4237316,ARHGAP18,DDX6
4237374,ARHGAP18,EIF4ENIF1
4237405,ARHGAP18,CLTB
4237512,ARHGAP18,NBR1
4237612,ARHGAP18,AP2M1
4237640,ARHGAP18,MEA1
4237648,ARHGAP18,GOLGA2
4237653,ARHGAP18,SEC16A
4237656,ARHGAP18,IQSEC1;IQSEC2
4237680,ARHGAP18,C6ORF10
4237691,ARHGAP18,HSPA1B;HSPA1A
4237832,ARHGAP18,HELZ
4237913,ARHGAP18,REPS1
4237923,ARHGAP18,HSPA8
4237965,ARHGAP18,WDR6
4238055,ARHGAP18,EPN2
4238061,ARHGAP18,CPSF7
4238129,ARHGAP18,MAP7D2
4238189,ARHGAP18,YTHDC2
4238214,ARHGAP18,AP1M1
4238326,ARHGAP18,SMAP2
4238402,ARHGAP18,EDC3
4238412,ARHGAP18,ZBTB10
4238431,ARHGAP18,SYNRG
4238436,ARHGAP18,TNRC6B
4238521,ARHGAP18,CD2AP
4238527,ARHGAP18,ENPP4
4238528,ARHGAP18,LSM4
4238560,ARHGAP18,LSM2
4238574,ARHGAP18,KIAA0430
4238594,ARHGAP18,BMP2K
4238666,ARHGAP18,DCP1A
4238726,ARHGAP18,GTSE1
4238745,ARHGAP18,CALCOCO1
4238757,ARHGAP18,CHMP5
4238782,ARHGAP18,AP1B1
4238859,ARHGAP18,CLINT1
4238906,ARHGAP18,PICALM
4238942,ARHGAP18,CLTC
4238958,ARHGAP18,SEC13
4239011,ARHGAP18,ALDH18A1
4239014,ARHGAP18,HSPA2
4239024,ARHGAP18,AP2S1
4239029,ARHGAP18,IST1
4239047,ARHGAP18,AP2B1
4239115,ARHGAP18,LSM6
4239155,ARHGAP18,PATL1
4239174,ARHGAP18,SCYL2
4239176,ARHGAP18,EDC4
4239203,ARHGAP18,AFTPH
4239246,ARHGAP18,LSM14A
4239267,ARHGAP18,DCP2
4239286,ARHGAP18,DCP1B
4239293,ARHGAP18,XRN1
4239335,ARHGAP18,PNRC1
4239421,ARHGAP18,AP1AR
4239474,ARHGAP18,NAN
922241,ARHGAP21,ARHGAP21
922319,ARHGAP21,PRR36
928491,ARHGAP35,RASA1
929106,ARHGAP35,PA2G4
929403,ARHGAP35,ARHGAP35
930357,ARHGAP35,KIAA1211L
932573,ARHGAP8,PRR5-ARHGAP8;ARHGAP8
934797,ARHGEF12,VAPA
934810,ARHGEF12,ARHGEF12
935107,ARHGEF12,MYO6
936953,ARHGEF12,ARHGEF11
936989,ARHGEF12,GIPC1
938624,ARHGEF18,ARHGEF18
940341,ARHGEF18,AKAP13
