,target,prey,ensg_id,prey_ensg,plex,huri,Hein
291,ACTR2,CLEC16A,ENSG00000138071,ENSG00000038532,False,False,False
292,ACTR2,CEP85L,ENSG00000138071,ENSG00000111860,False,False,False
293,ACTR2,CRTC2,ENSG00000138071,ENSG00000160741,False,False,False
294,ACTR2,HSP90AB2P,ENSG00000138071,,False,False,False
295,ACTR2,PPIA,ENSG00000138071,ENSG00000196262,True,False,False
296,ACTR2,YWHAZ,ENSG00000138071,ENSG00000164924,False,False,False
297,ACTR2,YWHAH,ENSG00000138071,ENSG00000128245,False,False,False
298,ACTR2,YWHAE,ENSG00000138071,ENSG00000108953,False,False,False
299,ACTR2,YWHAG,ENSG00000138071,ENSG00000170027,False,False,False
300,ACTR2,ACTR3,ENSG00000138071,ENSG00000115091,True,False,True
301,ACTR2,EIF2B1,ENSG00000138071,ENSG00000111361,True,False,False
302,ACTR2,ANGPT1,ENSG00000138071,ENSG00000154188,False,False,False
303,ACTR2,NCKIPSD,ENSG00000138071,ENSG00000213672,True,False,False
304,ACTR2,ACTR3B,ENSG00000138071,ENSG00000133627,True,False,False
305,ACTR2,UPF2,ENSG00000138071,ENSG00000151461,False,False,False
306,ACTR2,APPL1,ENSG00000138071,ENSG00000157500,False,False,False
307,ACTR2,TRAPPC4,ENSG00000138071,ENSG00000196655,False,False,False
308,ACTR2,TRAPPC8,ENSG00000138071,ENSG00000153339,False,False,False
309,ACTR2,BAIAP2,ENSG00000138071,ENSG00000175866,False,False,False
310,ACTR2,ARPC1A,ENSG00000138071,ENSG00000241685,True,False,True
311,ACTR2,ARPC5L,ENSG00000138071,ENSG00000136950,False,False,True
312,ACTR2,PAICS,ENSG00000138071,ENSG00000128050,False,False,False
313,ACTR2,ANP32A,ENSG00000138071,ENSG00000140350,False,False,False
314,ACTR2,CLASP1,ENSG00000138071,ENSG00000074054,False,False,False
315,ACTR2,PSMA4,ENSG00000138071,ENSG00000041357,True,False,False
316,ACTR2,UNNAMED,ENSG00000138071,ENSG00000284292,False,False,False
317,ACTR2,TBC1D4,ENSG00000138071,ENSG00000136111,False,False,False
318,ACTR2,NDUFA10,ENSG00000138071,ENSG00000130414,True,False,False
319,ACTR2,ARL1,ENSG00000138071,ENSG00000120805,False,False,False
320,ACTR2,YWHAQ,ENSG00000138071,ENSG00000134308,False,False,False
321,ACTR2,ESD,ENSG00000138071,ENSG00000139684,False,False,False
322,ACTR2,PFN1,ENSG00000138071,ENSG00000108518,False,False,False
323,ACTR2,MTHFD1,ENSG00000138071,ENSG00000100714,False,False,False
324,ACTR2,PRDX2,ENSG00000138071,ENSG00000167815,True,False,False
325,ACTR2,ATIC,ENSG00000138071,ENSG00000138363,False,False,False
326,ACTR2,YWHAB,ENSG00000138071,ENSG00000166913,False,False,False
327,ACTR2,MNDA,ENSG00000138071,ENSG00000163563,False,False,False
328,ACTR2,ARPC1B,ENSG00000138071,ENSG00000130429,True,False,True
329,ACTR2,ARPC2,ENSG00000138071,ENSG00000163466,False,False,True
330,ACTR2,ARPC3,ENSG00000138071,ENSG00000111229,True,False,True
331,ACTR2,ARPC5,ENSG00000138071,ENSG00000162704,True,False,True
332,ACTR2,GAPDH,ENSG00000138071,ENSG00000111640,False,False,False
333,ACTR5,INO80C,ENSG00000101442,ENSG00000153391,True,False,True
334,AGAP1,AGAP3,ENSG00000157985,ENSG00000133612,False,False,False
335,AGAP1,TANC1,ENSG00000157985,ENSG00000115183,False,False,False
336,AGAP3,C12ORF57,ENSG00000133612,ENSG00000111678,False,False,False
337,AGAP3,UBE2O,ENSG00000133612,ENSG00000175931,False,False,False
338,AGAP3,TANC1,ENSG00000133612,ENSG00000115183,False,False,False
339,AGAP3,DCTN1;DKFZP686E0752,ENSG00000133612,ENSG00000204843,False,False,False
340,AGAP3,AHCYL1,ENSG00000133612,ENSG00000158467,False,False,False
341,AGO1,TNRC6A,ENSG00000092847,ENSG00000090905,False,False,False
342,AGO1,TNRC6C,ENSG00000092847,ENSG00000078687,False,False,False
343,AGO1,AGO2,ENSG00000092847,ENSG00000123908,False,False,False
344,AGO1,TNRC6B,ENSG00000092847,ENSG00000100354,False,False,False
345,AGO2,TNRC6A,ENSG00000123908,ENSG00000090905,False,False,False
346,AGO2,COPS6,ENSG00000123908,ENSG00000168090,False,False,False
347,AGO2,FKBP5,ENSG00000123908,ENSG00000096060,False,False,False
348,AGO2,TNRC6C,ENSG00000123908,ENSG00000078687,False,False,False
349,AGO2,AGO3,ENSG00000123908,ENSG00000126070,False,False,False
350,AGO2,TNRC6B,ENSG00000123908,ENSG00000100354,False,False,False
351,AGO2,CNDP2,ENSG00000123908,ENSG00000133313,False,False,False
352,AGO2,NELFA,ENSG00000123908,ENSG00000185049,False,False,False
353,AGPAT6,TMEM120B,ENSG00000158669,ENSG00000188735,False,False,False
354,AGPAT6,CHP1,ENSG00000158669,ENSG00000187446,False,False,False
355,AGPAT6,MSH6,ENSG00000158669,ENSG00000116062,False,False,False
356,AHCY,C1ORF50,ENSG00000101444,ENSG00000164008,False,True,False
357,AHCY,ERLIN2,ENSG00000101444,ENSG00000147475,True,False,False
358,AHCY,ENO2,ENSG00000101444,,True,False,False
359,AHCY,GAK,ENSG00000101444,ENSG00000178950,False,False,False
