,complex,gene_names
1110,107,SRSF11
1111,107,SRSF1
1112,107,SRSF4
1113,107,DHX9
1114,107,NCBP1
1115,107,SF3A3
1116,107,IK
1117,107,SRSF9
1118,107,SRSF5
1119,107,SRSF6
1120,107,PPIL2
1121,107,SF3B2
1122,107,PRPF4B
1123,107,SNW1
1124,107,THOC5
1125,107,DDX39B
1126,107,CIRBP
1127,107,RBM39
1128,107,DHX8
1129,107,WTAP
1130,107,EFTUD2
1131,107,RNPS1
1132,107,SF3B3
1133,107,SF3B4
1134,107,SF3A2
1135,107,SF3A1
1136,107,SF1
1137,107,SRSF7
1138,107,CPSF6
1139,107,SMU1
1140,107,FNBP3
1141,107,USP39
1142,107,KIAA1429
1143,107,THOC7
1144,107,PRPF8
1145,107,DDX46
1146,107,ALYREF
1147,107,THOC6
1148,107,SRRM1
1149,107,THOC2
1150,107,CACTIN
1151,107,SNRNP27
1152,107,PRPF31
1153,107,CTNNBL1
1154,107,DHX38
1155,107,DDX17
1156,107,PPWD1
1157,107,DGCR14
1158,107,SNRNP40
1159,107,THOC1
1160,107,RBM17
1161,107,THOC3
1162,107,RBM15
1163,107,SPEN
1164,107,CDC5L
1165,107,PRPF18
1166,107,C19ORF43
1167,107,BUD13
1168,107,DDX23
1169,107,SRRT
1170,107,CRNKL1
1171,107,PPIL3
1172,107,MOV10
1173,107,CWC22
1174,107,XAB2
1175,107,RBM22
1176,107,CDK12
1177,107,CWC15
1178,107,TFIP11
1179,107,PUF60
1180,107,DDX41
1181,107,LSM7
1182,107,ACIN1
1183,107,ISY1
1184,107,PRPF19
1185,107,PPIE
1186,107,SRRM2
1187,107,WBP11
1188,107,LSM2
1189,107,SF3B6
1190,107,PPIL1
1191,107,LSM4
1192,107,PAXBP1
1193,107,RBM8A
1194,107,CFAP20
1195,108,SMC4
1196,108,LIG4
1197,108,SMC2
1198,109,PNKP
1199,109,LIG3
1200,109,TDP1
1201,109,POLB
1202,109,XRCC1
1203,110,ERCC1
1204,110,MSH2
1205,110,ERCC4
1206,111,SKP1
1207,111,CUL1
1208,111,FBXW2
1209,112,CUL4B
1210,112,CUL4A
1211,112,DDB1
1212,112,DDB2
1213,112,RBX1
1214,113,RFWD2
1215,113,CUL4A
1216,113,DDB1
1217,113,DET1
1218,113,RBX1
1219,114,CDT1
1220,114,CRBN
1221,114,CUL4A
1222,114,DDB1
1223,114,RBX1
1224,115,PCNA
1225,115,MLH1
1226,115,EXO1
1227,116,MSH4
